date,department_name,revenue,ebit_margin,utilization_rate,revenue_per_day,profit
2023-01-31 00:00:00,Digital Transformation,16888.91,0.306,0.774,1089.61,5168.689999999999
2023-02-28 00:00:00,Digital Transformation,19441.45,0.231,0.842,1157.23,4492.52
2023-03-31 00:00:00,Digital Transformation,16711.45,0.272,0.727,1152.51,4546.83
2023-04-30 00:00:00,Digital Transformation,16346.3,0.243,0.773,1054.6,3972.2899999999972
2023-05-31 00:00:00,Digital Transformation,20158.54,0.33,0.883,1138.9,6655.770000000002
2023-06-30 00:00:00,Digital Transformation,19480.48,0.35,0.868,1119.57,6814.159999999998
2023-07-31 00:00:00,Digital Transformation,16499.35,0.275,0.721,1145.79,4539.829999999998
2023-08-31 00:00:00,Digital Transformation,15457.38,0.23,0.678,1136.57,3553.5599999999995
2023-09-30 00:00:00,Digital Transformation,17569.49,0.297,0.799,1098.09,5220.129999999999
2023-10-31 00:00:00,Digital Transformation,16487.1,0.324,0.778,1056.87,5349.019999999999
2023-11-30 00:00:00,Digital Transformation,17377.43,0.349,0.777,1121.12,6067.980000000001
2023-12-31 00:00:00,Digital Transformation,17622.47,0.341,0.828,1061.59,6006.66
2024-01-31 00:00:00,Digital Transformation,18431.09,0.258,0.878,1047.22,4760.700000000001
2024-02-29 00:00:00,Digital Transformation,16443.9,0.267,0.782,1054.1,4382.750000000002
2024-03-31 00:00:00,Digital Transformation,17056.79,0.278,0.766,1114.82,4741.500000000002
2024-04-30 00:00:00,Digital Transformation,14939.97,0.233,0.665,1123.31,3483.5999999999985
2024-05-31 00:00:00,Digital Transformation,15037.71,0.325,0.7,1074.12,4886.709999999999
2024-06-30 00:00:00,Digital Transformation,16722.81,0.221,0.79,1058.41,3702.0300000000025
2024-07-31 00:00:00,Digital Transformation,17394.86,0.273,0.784,1107.95,4751.880000000001
2024-08-31 00:00:00,Digital Transformation,16449.16,0.252,0.737,1118.99,4148.98
2024-09-30 00:00:00,Digital Transformation,15928.87,0.296,0.747,1069.05,4718.920000000002
2024-10-31 00:00:00,Digital Transformation,16475.2,0.255,0.756,1091.07,4203.59
2024-11-30 00:00:00,Digital Transformation,15981.68,0.23,0.751,1065.45,3668.3600000000006
2024-12-31 00:00:00,Digital Transformation,18475.77,0.321,0.818,1126.57,5923.380000000001
2023-01-31 00:00:00,Public Finance,14748.27,0.289,0.793,927.56,4255.720000000001
2023-02-28 00:00:00,Public Finance,13732.78,0.313,0.735,934.2,4301.910000000002
2023-03-31 00:00:00,Public Finance,16020.22,0.272,0.822,976.84,4350.279999999999
2023-04-30 00:00:00,Public Finance,14201.27,0.239,0.724,979.4,3401.1499999999996
2023-05-31 00:00:00,Public Finance,15013.24,0.248,0.784,956.26,3718.2800000000007
2023-06-30 00:00:00,Public Finance,14179.51,0.232,0.772,920.75,3296.41
2023-07-31 00:00:00,Public Finance,15864.01,0.299,0.84,944.29,4750.890000000001
2023-08-31 00:00:00,Public Finance,14045.85,0.24,0.76,924.07,3368.629999999999
2023-09-30 00:00:00,Public Finance,12931.41,0.237,0.706,917.12,3061.129999999999
2023-10-31 00:00:00,Public Finance,15352.5,0.297,0.837,919.31,4555.4
2023-11-30 00:00:00,Public Finance,15033.81,0.249,0.804,933.78,3742.120000000001
2023-12-31 00:00:00,Public Finance,15586.99,0.315,0.797,980.31,4912.09
2024-01-31 00:00:00,Public Finance,14835.18,0.289,0.801,927.2,4289.029999999999
2024-02-29 00:00:00,Public Finance,16539.87,0.247,0.874,945.14,4081.3600000000006
2024-03-31 00:00:00,Public Finance,15217.41,0.238,0.785,969.26,3617.01
2024-04-30 00:00:00,Public Finance,15391.81,0.204,0.816,944.28,3140.17
2024-05-31 00:00:00,Public Finance,15008.69,0.32,0.783,955.97,4803.59
2024-06-30 00:00:00,Public Finance,15595.42,0.262,0.835,933.86,4085.1600000000017
2024-07-31 00:00:00,Public Finance,14101.65,0.317,0.763,921.68,4477.0599999999995
2024-08-31 00:00:00,Public Finance,17086.15,0.277,0.863,987.64,4738.190000000002
2024-09-30 00:00:00,Public Finance,13960.64,0.22,0.767,912.46,3077.09
2024-10-31 00:00:00,Public Finance,13369.38,0.268,0.725,922.03,3587.699999999999
2024-11-30 00:00:00,Public Finance,14532.47,0.281,0.744,975.33,4086.09
2024-12-31 00:00:00,Public Finance,14406.69,0.263,0.785,917.62,3786.0
2023-01-31 00:00:00,Infrastructure Advisory,13801.74,0.288,0.724,951.84,3981.5300000000007
2023-02-28 00:00:00,Infrastructure Advisory,16885.62,0.306,0.868,970.44,5174.139999999999
2023-03-31 00:00:00,Infrastructure Advisory,13801.95,0.27,0.719,958.47,3720.4799999999996
2023-04-30 00:00:00,Infrastructure Advisory,16587.2,0.297,0.816,1017.62,4928.000000000002
